match,team1,book1,team1_odd,team2,book2,team2_odd,profit_%
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,GTbets,3.38,24.54
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,BetOnline.ag,3.36,24.37
Crystal Palace vs Nottingham Forest,Crystal Palace,Nordic Bet,2.18,Nottingham Forest,Betclic,3.33,24.1
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Pinnacle,3.39,25.46
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,1xBet,3.44,25.89
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Winamax (FR),3.3,24.65
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Winamax (DE),3.35,25.1
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,MyBookie.ag,3.28,24.47
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Tipico,3.3,24.65
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Betfair,3.5,26.38
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Marathon Bet,3.38,25.37
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Unibet,3.45,25.97
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Nordic Bet,3.25,24.19
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,888sport,3.4,25.54
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,William Hill,3.3,24.65
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Everygame,3.35,25.1
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Coolbet,3.57,26.94
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Parions Sport (FR),3.3,24.65
